date,monsta usd,monsta bnb,cake price,bnb price,circ. supply,burned tokens,burned %,vault syrup bars,vault usd,vault bnb,liquidity usd,liquidity bnb,trades,trade volume usd,trade volume bnb
2021-07-23,0.000347170252243408,0.0000011841,12.978142033825996,293.2180820981926,9287347273.66,712652726.3400002,7.13,0.00,0.0,0.0,188078.87440024372,641.43,382,36655.32726633441,125.01045980533799
2021-07-24,0.000336802574327055,0.0000011276,13.734811336890054,298.785567805207,9284337300.39,715662699.6100006,7.16,0.00,0.0,0.0,187114.46183801087,626.25,305,34937.681706648866,116.93229349493366
2021-07-25,0.000306326323704869,0.0000010173,14.028318780760895,301.10585063591486,9281435946.74,718564053.2600002,7.19,0.00,0.0,0.0,179757.1817711348,596.99,213,13629.175797716769,45.26373622077713
2021-07-26,0.000302538515801052,0.0000009994,13.914704421790441,302.50248412873987,9280233708.49,719766291.5100002,7.20,0.00,0.0,0.0,178924.1693124671,591.48,252,43014.3659830216,142.19508347810927
2021-07-27,0.000291866893467815,0.0000009583,14.301161716136136,304.46688690564497,9276654224.84,723345775.1599998,7.23,0.00,0.0,0.0,176447.69496842846,579.53,166,21437.852629636138,70.41111382427533
2021-07-28,0.000321812251264965,0.0000010272,14.776103345169945,313.24506029710034,9274848937.92,725151062.0799999,7.25,0.00,0.0,0.0,188006.55273971666,600.19,261,45336.11876699329,144.73051458175846
2021-07-29,0.000341471672631498,0.0000010908,14.888461531001951,313.04919960338094,9271597319.64,728402680.3600006,7.28,0.00,0.0,0.0,193730.49717455235,618.85,178,19767.782642699138,63.145929354695724
2021-07-30,0.000315984684472948,0.0000009966,14.93553538663967,317.1358698891198,9270038393.54,729961606.4599991,7.30,0.00,0.0,0.0,187642.95149599444,591.68,149,30168.993478113014,95.12955279597035
2021-07-31,0.000301935039505086,0.0000009359,15.184741163038959,322.46614699313557,9267524305.44,732475694.5599995,7.32,0.00,0.0,0.0,184969.8065767325,573.61,119,10324.734317373894,32.018041005692545
2021-08-01,0.00030271240877289,0.0000009104,16.021143467133534,332.44575782258755,9266613483.30,733386516.7000008,7.33,0.00,0.0,0.0,188104.45869117655,565.82,156,25751.17693131987,77.45978501871032
2021-08-02,0.000318640768273664,0.0000009555,16.02057479997723,333.54416318761497,9264304613.73,735695386.2700005,7.36,0.00,0.0,0.0,193322.19698354168,579.6,124,10331.866538309714,30.976007613415046
2021-08-03,0.000314023195361626,0.0000009491,15.854521522470225,330.9410781750686,9263224753.69,736775246.3099995,7.37,0.00,0.0,0.0,191194.5890940824,577.73,201,66016.46793202941,199.48103238216487
2021-08-04,0.000282751715806016,0.0000008753,16.252131248566354,323.05631446115524,9257131364.49,742868635.5100002,7.43,0.00,0.0,0.0,179415.78536229176,555.37,178,31487.93074637571,97.46886018586667
2021-08-05,0.000330433296718891,0.0000009861,17.555038089818996,335.11749720390145,9244628228.80,755371771.2000008,7.55,0.00,0.0,0.0,197776.29332482652,590.17,159,43397.075865628,129.49809015559444
2021-08-06,0.00037685094598755,0.0000011133,17.502471426656268,338.4629629768523,9239052517.33,760947482.6700001,7.61,0.00,0.0,0.0,212405.81704575339,627.56,277,85912.28587930993,253.8306854129429
2021-08-07,0.000345013163052856,0.0000010088,18.07048969507307,341.89720282520705,9231982541.14,768017458.8600006,7.68,0.00,0.0,0.0,204478.46009367157,598.07,207,44074.3465005261,128.91110584212313
2021-08-08,0.000330645839378275,0.0000009286,18.22535595142345,355.95655386874904,9228180773.16,771819226.8400002,7.72,0.00,0.0,0.0,204322.6214862006,574.01,228,83154.91580861426,233.60973384205695
2021-08-09,0.000306947256024961,0.0000008975,17.374738231519892,341.9405910680039,9179123383.58,820876616.4200001,8.21,0.00,0.0,0.0,187373.18568753416,547.97,214,89058.104210692,260.4490561723935
2021-08-10,0.000277629746256784,0.0000007836,18.363057960772114,354.2599448357951,9083528071.61,916471928.3899994,9.16,0.00,0.0,0.0,169219.34784971425,477.67,220,72478.36691875859,204.5909168544398
2021-08-11,0.000274869701872957,0.0000007400,18.829430934909052,371.47638667537336,8997078226.60,1002921773.3999996,10.03,0.00,0.0,0.0,161443.6376491173,434.6,257,95350.4999775633,256.67984129739153
2021-08-12,0.000271146705372549,0.0000006912,19.6991317124076,392.24171472924047,8941099097.45,1058900902.5499992,10.59,0.00,0.0,0.0,158728.45469948178,404.67,157,28978.707476078882,73.87971852020512
2021-08-13,0.000262695035910304,0.0000006827,19.436337210244883,384.75258358611,8906151753.49,1093848246.5100002,10.94,0.00,0.0,0.0,150738.36719736617,391.78,168,44989.69987785753,116.93150818775088
2021-08-14,0.000291119822281273,0.0000007103,21.078907335928275,409.8760841217344,8891353879.59,1108646120.4099998,11.09,0.00,0.0,0.0,162401.10205071358,396.22,167,25838.39594401076,63.03953059221842
2021-08-15,0.000321745874548474,0.0000007853,20.738533962277877,409.5721425445435,8872456538.42,1127543461.58,11.28,0.00,0.0,0.0,168137.555957386,410.52,251,56608.032334158044,138.2126039687906
2021-08-16,0.000425837398564586,0.0000010252,21.11612248578777,415.3255108597562,8833217791.79,1166782208.209999,11.67,0.00,0.0,0.0,194040.0786736781,467.2,528,109577.20950339468,263.83452650563487
2021-08-17,0.000510743010764693,0.0000012246,21.376490819438203,417.00776531004595,8819225763.15,1180774236.8500004,11.81,0.00,0.0,0.0,211139.37173178248,506.32,348,56364.51348320568,135.16418199382588
2021-08-18,0.000446651309415826,0.0000011135,21.396496301672403,401.1596351482857,8811484400.81,1188515599.1900005,11.89,0.00,0.0,0.0,192713.07712888496,480.39,190,30028.4781078967,74.85418640586033
2021-08-19,0.000470282460876279,0.0000011842,21.417795502255892,397.14919876486465,8800434560.19,1199565439.8099995,12.00,0.00,0.0,0.0,194734.16663037607,490.33,292,17627.0733145444,44.3840082502109
2021-08-20,0.000501971783512017,0.0000011668,22.373223317460987,430.2096987344169,8783864125.52,1216135874.4799995,12.16,0.00,0.0,0.0,205558.49615229174,477.81,205,31342.859805964847,72.85484241328984
2021-08-21,0.000504669599945255,0.0000011120,24.295635036081347,453.84063217857425,8769509640.12,1230490359.8799992,12.30,0.00,0.0,0.0,208653.23064409953,459.75,174,18972.393114685896,41.80408665397055
2021-08-22,0.000503613614917462,0.0000011197,23.65848714452809,449.75045069985975,8765585857.95,1234414142.0499992,12.34,0.00,0.0,0.0,206858.22229489347,459.94,205,32729.685111460843,72.77299013381746
2021-08-23,0.000536437757718008,0.0000011948,23.533278685733137,449.274381337522,8758520647.22,1241479352.7800007,12.41,0.00,0.0,0.0,212115.91366088425,472.13,503,137411.3320742384,305.8516972749593
2021-08-24,0.000614749920836184,0.0000012297,25.184436231685805,499.5378225948843,8747053221.00,1252946779.0,12.53,0.00,0.0,0.0,237994.80481888072,476.43,384,94041.35688884149,188.2567297914241
2021-08-25,0.000646751640106604,0.0000013733,23.64367850980074,471.1101253118313,8724058148.89,1275941851.1100006,12.76,0.00,0.0,0.0,232723.69080279156,493.99,683,282353.2145464769,599.3359076279356
2021-08-26,0.00096106675184947,0.0000019099,25.96631673741795,503.05744307765724,8704383165.92,1295616834.08,12.96,0.00,0.0,0.0,289826.4846803306,576.13,1194,363592.9497614807,722.7662660889259
2021-08-27,0.001588968998864215,0.0000033163,24.896726612096142,479.16504111764215,8689487048.47,1310512951.5300007,13.11,0.00,0.0,0.0,360897.5256689857,753.18,2814,1338331.6654065314,2793.049472651222
2021-08-28,0.002880551371150799,0.0000058326,26.114657438293094,493.9822830185854,8656324283.01,1343675716.9899998,13.44,0.00,0.0,0.0,487081.3505248158,986.03,4977,2816924.3106530546,5702.480448164315
2021-08-29,0.003389701599528415,0.0000069836,25.435356707471378,485.17097524570266,8624929479.18,1375070520.8199997,13.75,0.00,0.0,0.0,508857.0222571978,1048.82,2339,1079327.8061814364,2224.633915157101
2021-08-30,0.003394604470417032,0.0000070565,25.282894293653865,480.84409342386385,8614072457.12,1385927542.8799992,13.86,27463.34,694352.7221706759,1443.3855493568124,505338.2915428755,1050.94,1307,572717.678527928,1191.0673051006527
2021-08-31,0.003742048287560146,0.0000081267,23.21483300149345,460.28495721629866,8607993221.95,1392006778.0499992,13.92,28217.78,655071.0503728818,1422.6259974801026,516154.3453232131,1121.38,1021,445911.43246843066,968.7725516063007
2021-09-01,0.003276458568912793,0.0000070442,22.947261281720543,465.0410258363526,8599439989.92,1400560010.08,14.01,28866.72,662412.1661862682,1424.1542914822217,479043.41112428514,1030.11,844,378858.3521877842,814.6772674656537
2021-09-02,0.002973267078780837,0.0000060795,24.140695052216937,488.9940489859021,8595058808.00,1404941192.0,14.05,29371.91,709058.3224111613,1449.8315114590057,467336.50255631655,955.71,735,210374.789297866,430.2195287123651
2021-09-03,0.003490969574767569,0.0000071983,23.485763747782627,484.8907810001953,8592442743.92,1407557256.08,14.08,29656.59,696507.6663048528,1436.1883123252871,503534.8315296529,1038.45,765,314099.7114286636,647.7741457174395
